HRHHID,OCCURNUM,YYYYMM,PEEDUCA,PEMARITL,PESEX,PRTAGE,PRTFAGE,PERACE,GTCMSA,GESTCEN,PTERNWA,PRVEL,PES3,PES4,PES5,PES6,PES7,PWSSWGT,PWORWGT
190199550199,2,199411,39,1,2,59,0,1,-1,71,21474836.47,1,2,2,-9,5,2,1299.4802,5197.6822
951959190091,1,199411,40,3,2,59,0,1,-1,71,21474836.47,1,2,1,-9,5,1,1299.4802,5197.6822
019515991909,1,199411,40,1,1,76,0,1,-1,71,21474836.47,2,-9,-9,-9,-9,-9,1311.8852,5235.4982
019515991909,2,199411,40,1,2,76,0,1,-1,71,21474836.47,2,-9,-9,-9,-9,-9,1269.3555,5095.6699
915011999950,1,199411,41,1,1,40,0,1,-1,71,465.40,1,1,-9,3,6,1,1325.3516,5335.2993
915011999950,2,199411,41,1,2,41,0,1,-1,71,400.00,1,1,-9,1,6,2,1343.6623,5382.7510
915011999950,3,199411,-1,-1,2,12,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1208.3459,4833.3836
915011999950,4,199411,-1,-1,2,10,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1367.0168,5468.0672
915011999950,5,199411,-1,-1,1,9,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1356.5155,5426.0620
002067054736,1,199411,45,1,1,45,0,5,-1,71,21474836.47,1,1,-9,1,3,1,887.6996,0.0000
002067054736,2,199411,41,1,2,49,0,1,-1,71,21474836.47,1,1,-9,1,3,2,1378.2725,0.0000
730507660240,1,199411,34,1,1,35,0,1,-1,71,21474836.47,1,1,-9,4,4,1,1314.4518,0.0000
730507660240,2,199411,39,1,2,33,0,1,-1,71,21474836.47,1,2,2,-9,4,1,1376.3136,0.0000
730507660240,3,199411,-1,-1,1,14,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1429.1865,0.0000
730507660240,4,199411,-1,-1,2,4,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1577.9240,0.0000
730507660240,5,199411,34,6,2,15,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1522.3745,0.0000
367764200005,1,199411,40,1,1,48,0,1,-1,71,21474836.47,1,1,-9,1,5,2,1373.7279,0.0000
367764200005,2,199411,39,1,2,48,0,1,-1,71,21474836.47,1,2,1,-9,5,1,1378.2725,0.0000
367764200005,3,199411,39,6,2,18,0,1,-1,71,21474836.47,1,2,2,-9,5,2,1381.2116,0.0000
367764200005,4,199411,-1,-1,2,14,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1458.7270,0.0000
077626405300,1,199411,40,1,2,45,0,1,-1,71,21474836.47,1,1,-9,1,6,1,1378.2725,0.0000
077626405300,2,199411,40,6,1,22,0,1,-1,71,21474836.47,1,1,-9,1,6,2,1639.9576,0.0000
077626405300,3,199411,41,1,1,45,0,1,-1,71,21474836.47,1,1,-9,1,6,2,1373.7279,0.0000
002951919995,1,199411,40,1,2,33,0,1,-1,71,21474836.47,1,1,-9,1,4,1,1376.3136,0.0000
002951919995,2,199411,40,1,1,31,0,1,-1,71,21474836.47,1,2,2,-9,4,2,1334.4189,0.0000
002951919995,3,199411,-1,-1,2,4,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1577.9240,0.0000
002951919995,4,199411,-1,-1,2,14,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1458.7270,0.0000
002951919995,5,199411,36,6,2,17,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1726.2627,0.0000
190199550299,1,199411,40,1,1,37,0,1,-1,71,21474836.47,1,2,2,-9,3,1,1314.4518,0.0000
190199550299,2,199411,43,1,2,30,0,1,-1,71,21474836.47,1,2,2,-9,2,2,1376.3136,0.0000
190199550299,3,199411,-1,-1,2,10,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1292.0460,0.0000
951959290091,1,199411,43,1,2,43,0,1,-1,71,21474836.47,1,2,1,-9,5,1,1411.2429,0.0000
951959290091,2,199411,41,1,1,43,0,1,-1,71,21474836.47,1,2,1,-9,5,2,1457.2561,0.0000
951959290091,3,199411,39,6,1,18,0,1,-1,71,21474836.47,1,2,1,-9,5,2,1587.9191,0.0000
019525991909,1,199411,41,1,2,32,0,1,-1,71,21474836.47,1,1,-9,3,5,1,1376.3136,0.0000
019525991909,2,199411,45,1,1,32,0,1,-1,71,21474836.47,1,1,-9,3,5,2,1334.4189,0.0000
019525991909,3,199411,-1,-1,1,9,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1356.5417,0.0000
309190199955,1,199411,40,1,1,22,0,1,-1,71,21474836.47,3,-1,-1,-1,3,1,1589.2911,0.0000
309190199955,2,199411,40,1,2,21,0,1,-1,71,21474836.47,1,2,1,-9,3,1,1376.6505,0.0000
